channel_name,category,sub_category,customer_remarks,tenure_bucket,agent_shift,csat_score,response_minutes,retention_label
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,3,14,
Inbound,Order Related,Delayed,,>90,Morning,5,9,1
Inbound,Order Related,Order status enquiry,,>90,Morning,5,9,1
Inbound,Returns,Fraudulent User,Nice person,31-60,Morning,5,4,1
Outcall,Order Related,Delayed,,31-60,Morning,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,418,1
Outcall,Returns,Damaged,,>90,Afternoon,5,3,1
Outcall,Order Related,Installation/demo,,On Job Training,Evening,5,6,1
Inbound,Order Related,Installation/demo,Issue still continue,0-30,Morning,5,208,1
Email,Order Related,Unable to track,,On Job Training,Evening,5,44149,
Inbound,Returns,Reverse Pickup Enquiry,,61-90,Evening,5,3,1
Inbound,Refund Related,Refund Related Issues,,>90,Afternoon,5,5,1
Inbound,Order Related,Delayed,,31-60,Evening,5,9,1
Outcall,Product Queries,Product Specific Information,Cancel order,0-30,Evening,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,4,20,1
Inbound,Order Related,Delayed,,0-30,Morning,5,1,1
Inbound,Shopzilla Related,General Enquiry,Thankyou!,On Job Training,Morning,5,7,1
Inbound,Order Related,Delayed,,>90,Afternoon,5,11,1
Inbound,Offers & Cashback,Other Cashback,Very nice and very good cosumer support,>90,Morning,5,330,1
Outcall,Returns,Reverse Pickup Enquiry,"Please, do not do work with bad sellers, who send wrong items and fake products",>90,Split,5,324,1
Outcall,Returns,Return request,,>90,Afternoon,5,3,1
Outcall,Order Related,Delayed,,61-90,Evening,5,10,1
Inbound,Returns,Reverse Pickup Enquiry,,61-90,Evening,5,14,1
Inbound,Order Related,Seller Cancelled Order,It treated me very badly.  Why canceled the order after taking my order.  It is very bad practice towards the customer.  This is very bad usage.  I am not taking anything else here..,>90,Night,1,20,0
Inbound,Returns,Return request,,>90,Evening,5,1,1
Inbound,Product Queries,Product Specific Information,My all doubts solved thak you sir,>90,Afternoon,5,1,1
Inbound,Order Related,Order status enquiry,Good best but my amount is not credited my account,0-30,Morning,4,27,1
Inbound,Order Related,Order status enquiry,,31-60,Morning,4,1,1
Outcall,Product Queries,Product Specific Information,I love his voice so preety please upgrade his post into manager in Shopzilla this person is very helpful thanks brother ????????,31-60,Morning,5,131,1
Inbound,Shopzilla Related,General Enquiry,,61-90,Split,4,2,1
Inbound,Order Related,Delayed,,>90,Evening,4,3,1
Inbound,Returns,Reverse Pickup Enquiry,The most inefficient resolution mechanism,31-60,Morning,1,90,0
Inbound,Returns,Missing,,>90,Split,5,43297,
Outcall,Order Related,Invoice request,,0-30,Morning,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,5,28,1
Inbound,Returns,Missing,Thanks Team!,0-30,Evening,4,,
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,401,1
Inbound,Returns,Wrong,Very nice   ??,>90,Morning,5,12,1
Outcall,Order Related,Delayed,,0-30,Evening,5,4,1
Inbound,Order Related,Order status enquiry,,On Job Training,Evening,5,0,1
Email,Feedback,UnProfessional Behaviour,Osm,31-60,Morning,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,very good person,>90,Morning,5,1,1
Inbound,Returns,Exchange / Replacement,,>90,Evening,4,3,1
Inbound,Returns,Reverse Pickup Enquiry,Very good service,>90,Morning,5,1,1
Outcall,Payments related,Online Payment Issues,Good,>90,Split,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,6,1
Inbound,Feedback,UnProfessional Behaviour,,>90,Afternoon,4,8,1
Inbound,Returns,Exchange / Replacement,"Need exchange option again as I clicked \""Reject\"" by mistake during exchange confirmation.",>90,Evening,4,,
Inbound,Returns,Return request,,61-90,Evening,5,2,1
Inbound,Order Related,Seller Cancelled Order,,0-30,Afternoon,3,6,
Outcall,Returns,Service Centres Related,Issues resolution fast,61-90,Evening,5,16,1
Inbound,Order Related,Priority delivery,Costumers support team is very good,>90,Split,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,5,4,1
Inbound,Order Related,Order status enquiry,,>90,Morning,5,2,1
Outcall,Feedback,UnProfessional Behaviour,"Very wrost service nobody resolvoed without deliverying product delivery agent updating as product delivered it's absolutely wrong data leakaging without asking pin he has updated like this, what it shows? Till date am unable to connect with him also",31-60,Morning,1,412,0
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Afternoon,5,205,1
Inbound,Returns,Return request,,61-90,Evening,4,3,1
Outcall,Order Related,Order status enquiry,Fraud company Shopzilla company,>90,Morning,5,7,1
Inbound,Product Queries,Product Specific Information,,>90,Morning,5,0,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Split,4,3,1
Outcall,Returns,Exchange / Replacement,,31-60,Evening,5,79,1
Inbound,Returns,Reverse Pickup Enquiry,Tq,>90,Morning,5,16,1
Inbound,Order Related,Order status enquiry,,>90,Split,5,2,1
Inbound,Order Related,Priority delivery,,>90,Morning,5,1,1
Inbound,Returns,Missing,,0-30,Evening,4,23,1
Inbound,Order Related,Installation/demo,,>90,Split,5,6,1
Inbound,Refund Related,Refund Related Issues,,>90,Split,5,0,1
Inbound,Returns,Fraudulent User,,On Job Training,Morning,5,12,1
Inbound,Returns,Missing,,31-60,Morning,5,153,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,1,1
Outcall,Product Queries,Product Specific Information,,On Job Training,Morning,3,98,
Inbound,Order Related,Order status enquiry,,>90,Evening,2,4,0
Inbound,Order Related,Delayed,,0-30,Evening,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Morning,1,11,0
Inbound,Returns,Reverse Pickup Enquiry,Amazing customers support but poor proceedings,0-30,Morning,5,1,1
Outcall,Refund Related,Refund Enquiry,He was very good in communication and all and i expect to solve my asap thank you,31-60,Evening,5,0,1
Inbound,Product Queries,Product Specific Information,Executive was good and professional resolved my query but he was unable to address my doubt about FK services.but overall good ??,0-30,Evening,5,1,1
Inbound,Returns,Service Centres Related,,0-30,Evening,5,44847,
Outcall,Others,Call disconnected,,>90,Morning,5,0,1
Inbound,Feedback,UnProfessional Behaviour,,>90,Evening,5,2,1
Outcall,Returns,Reverse Pickup Enquiry,,31-60,Morning,5,7,1
Inbound,Product Queries,Product Specific Information,,61-90,Evening,4,1,1
Outcall,Returns,Reverse Pickup Enquiry,,0-30,Morning,1,627,0
Outcall,Payments related,Payment related Queries,Very good,31-60,Morning,5,9,1
Inbound,Refund Related,Refund Enquiry,,31-60,Evening,1,288,0
Outcall,Order Related,Seller Cancelled Order,"Ordered on 27th with expected delivery on 29th. Put for delivery on 30th, no call, gets undeliveredDelivery agent confirms address on 31st but doesn't pick up call, marks undeliveredOn 1st, gets undelivered without a callOn the 2nd gets cancelledYour so called senior support agent   is absolutely horrible and even ridiculed by pronuncing my name at the end. This rating is for him and your service with it.Not only is your service pathetic, but so are your agents.Terrible service and experience I've had",31-60,Morning,1,50,0
Inbound,Order Related,Seller Cancelled Order,satisfied from the conversation with Miss   regarding my issue...Thanks,>90,Night,5,9,1
Inbound,Order Related,Delayed,,>90,Split,5,549,1
Inbound,Order Related,Order status enquiry,,>90,Evening,5,1,1
Inbound,Returns,Fraudulent User,Aplog apan system may sudhar laya nahyto bohat jald apna dukan band,0-30,Morning,1,852,0
Inbound,Order Related,Seller Cancelled Order,Bad service,>90,Morning,1,4,0
Outcall,Cancellation,Not Needed,Ok,On Job Training,Morning,5,8,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,1,74,0
Outcall,Feedback,UnProfessional Behaviour,,>90,Afternoon,1,90,0
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,5,1,1
Outcall,Returns,Return request,Good,31-60,Evening,5,10,1
Outcall,Returns,Service Centres Related,Good experience with Shopzilla,0-30,Morning,4,1,1
Inbound,Returns,Missing,,61-90,Morning,5,7,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,5,1,1
Inbound,Returns,Return request,?????? ??????? ??? ???? ????,>90,Evening,5,6,1
Outcall,Order Related,Delayed,Thanks Shopzilla,0-30,Morning,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,1,6,0
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,3,7,
Inbound,Order Related,Delayed,,>90,Evening,5,1,1
Inbound,Order Related,Delayed,Mera parcel cancel kar diya,>90,Morning,1,,0
Inbound,Order Related,Order status enquiry,,0-30,Morning,5,0,1
Inbound,Shopzilla Related,General Enquiry,,0-30,Evening,1,4,0
Inbound,Order Related,Delayed,,>90,Evening,1,1,0
Inbound,Returns,Reverse Pickup Enquiry,I am happy with customer service,31-60,Evening,5,5,1
Inbound,Returns,Missing,Very good mam,>90,Afternoon,5,6,1
Outcall,Order Related,Seller Cancelled Order,,On Job Training,Evening,1,158,0
Inbound,Returns,Missing,,0-30,Evening,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Split,3,3,
Inbound,Order Related,Installation/demo,Good,>90,Morning,5,2,1
Inbound,Cancellation,Not Needed,Give option for faster delivery,31-60,Morning,1,4,0
Inbound,Payments related,Wallet related,Very good voice,>90,Morning,5,1,1
Inbound,Order Related,Seller Cancelled Order,Shopzilla fraud h Customer ko gumrah   h,>90,Afternoon,1,159,0
Inbound,Returns,Missing,"I didn't received the the product one out of two. Very frustrated .Please understand that my frustration is not directed at you personally, but rather at the lack of attention and assistance from your customer service representatives. I believe that a reputable company like yours should prioritize its customers and work towards resolving issues promptly and effectively.I sincerely hope that you will consider my situation with utmost urgency and help restore my faith in your company's commitment to customer satisfaction. I expect a timely response to this email and a tangible resolution to my problem.Thank you for your attention to this matter.",>90,Afternoon,1,47,0
Outcall,Returns,Fraudulent User,,>90,Morning,5,157,1
Inbound,Order Related,Delayed,,On Job Training,Evening,5,0,1
Inbound,Cancellation,Not Needed,Recently I talk to the customer support service your behaviour of your employee was soo polite and mannerful hats of to you man thanks for solving my problem stay blessed ??,>90,Evening,5,1,1
Inbound,Returns,Wrong,Vary good,On Job Training,Evening,5,12,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Split,5,1,1
Inbound,Returns,Missing,Try to fix delivery hours as it is uncertain that when delivery person will arrive in whole day. Sometimes they arrive in busy hours and it becomes difficut to receive the order. So recepient should be informed about the approximate delivery time.,31-60,Evening,5,6,1
Inbound,Returns,Reverse Pickup Enquiry,I don't like chat bot,>90,Morning,5,0,1
Inbound,Order Related,Installation/demo,,61-90,Evening,5,13,1
Inbound,Cancellation,Not Needed,,>90,Afternoon,5,0,1
Outcall,Refund Related,Refund Related Issues,Plz refund immediately,31-60,Morning,5,2,1
Inbound,Returns,Return request,,0-30,Morning,5,6,1
Inbound,Returns,Reverse Pickup Enquiry,Nothing,0-30,Evening,4,4,1
Inbound,Returns,Reverse Pickup Enquiry,I look some scarcity of clarity in coustomer problem solutions. it has take much time. Please make it more easy for customers. So it make helpful for customers.Thankyou,31-60,Evening,5,3,1
Outcall,Returns,Reverse Pickup Enquiry,Thank you sir,>90,Morning,5,1,1
Inbound,Returns,Return request,,>90,Morning,4,703,1
Inbound,Refund Related,Refund Related Issues,,61-90,Morning,5,10,1
Inbound,Order Related,Invoice request,,On Job Training,Evening,5,2,1
Inbound,Order Related,Order status enquiry,,>90,Split,1,35,0
Inbound,Returns,Reverse Pickup Enquiry,Front end support executives don't know what to do when we ask for solution,31-60,Afternoon,1,,0
Inbound,Shopzilla Related,Account updation,,>90,Morning,5,1,1
Inbound,Order Related,Order status enquiry,,On Job Training,Evening,5,18,1
Inbound,Order Related,Customer Requested Modifications,Mujhe baat kerke achAa lga,>90,Evening,5,3,1
Outcall,Product Queries,Product Specific Information,,On Job Training,Morning,5,40,1
Inbound,Shopzilla Related,Account updation,No,31-60,Evening,5,7,1
Inbound,Order Related,Delayed,,>90,Morning,5,1,1
Inbound,Product Queries,Product Specific Information,Good,0-30,Evening,5,38,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,2,171,0
Inbound,Refund Related,Refund Related Issues,,>90,Evening,1,58,0
Inbound,Returns,Service Centres Related,,31-60,Night,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,Good,>90,Afternoon,1,3,0
Inbound,Returns,Fraudulent User,,>90,Afternoon,5,2,1
Inbound,Shopzilla Related,General Enquiry,Thank you   ji,>90,Split,4,2,1
Outcall,Returns,Reverse Pickup Enquiry,,0-30,Evening,1,138,0
Outcall,Product Queries,Product Specific Information,,>90,Morning,1,8,0
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,0,1
Inbound,Returns,Reverse Pickup Enquiry,Nice service,0-30,Evening,5,19,1
Outcall,Returns,Reverse Pickup Enquiry,,31-60,Evening,5,126,1
Outcall,Product Queries,Product Specific Information,,61-90,Morning,4,180,1
Inbound,Order Related,Order Verification,,On Job Training,Morning,5,2,1
Email,Order Related,Delayed,Shopzilla is very very....poor service provider ??,0-30,Morning,3,21,
Inbound,Returns,Reverse Pickup Enquiry,,On Job Training,Evening,5,18,1
Inbound,Order Related,Delayed,,>90,Night,5,10,1
Inbound,Shopzilla Related,General Enquiry,,On Job Training,Evening,5,6,1
Outcall,Shopzilla Related,General Enquiry,,>90,Morning,5,3,1
Outcall,Returns,Technician Visit,,>90,Morning,5,1,1
Inbound,Returns,Return request,,0-30,Morning,5,13,1
Inbound,Payments related,Online Payment Issues,,31-60,Split,5,3,1
Outcall,Order Related,Invoice request,,>90,Evening,5,4,1
Inbound,Order Related,Order status enquiry,,31-60,Evening,4,1,1
Inbound,Order Related,Delayed,,>90,Split,5,2,1
Inbound,Returns,Return request,,>90,Evening,5,206,1
Inbound,Returns,Exchange / Replacement,,31-60,Evening,5,1,1
Inbound,Returns,Fraudulent User,Nice customer service,>90,Afternoon,5,11,1
Inbound,Shopzilla Related,General Enquiry,,31-60,Evening,5,6,1
Outcall,Order Related,Order status enquiry,This is disgusting....worst....not solve my problem....and customer support executive talk in unmanned way.....,On Job Training,Evening,1,36,0
Outcall,Order Related,Installation/demo,,0-30,Morning,5,5,1
Inbound,Refund Related,Refund Related Issues,,On Job Training,Morning,5,2,1
Inbound,Order Related,Delayed,,0-30,Morning,4,12,1
Inbound,Returns,Missing,,31-60,Morning,5,15,1
Inbound,Cancellation,Not Needed,,>90,Split,5,5,1
Email,Returns,Wrong,,31-60,Morning,5,3,1
Inbound,Cancellation,Not Needed,Thank you,0-30,Morning,5,15,1
Inbound,Cancellation,Not Needed,,0-30,Morning,1,39,0
Inbound,Returns,Missing,,>90,Evening,5,141,1
Outcall,Returns,Reverse Pickup Enquiry,,0-30,Morning,5,3,1
Outcall,Returns,Fraudulent User,Good Interaction with executive,>90,Morning,5,30,1
Outcall,Order Related,Priority delivery,,On Job Training,Morning,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,5,3,1
Outcall,Returns,Reverse Pickup Enquiry,Thanku,31-60,Evening,4,5,1
Inbound,Returns,Return request,,0-30,Morning,5,43,1
Inbound,Returns,Fraudulent User,Good,>90,Morning,5,12,1
Outcall,Cancellation,Not Needed,Everything ok,61-90,Evening,5,262,1
Outcall,Returns,Return request,,31-60,Evening,5,1,1
Outcall,Returns,Return request,,>90,Evening,5,2,1
Inbound,Returns,Fraudulent User,,0-30,Evening,5,3,1
Inbound,Order Related,Seller Cancelled Order,Product cancelled without any information and got feed that u have rehected the delivery,On Job Training,Morning,1,135,0
Inbound,Product Queries,Product Specific Information,Shopping made easyThanks Shopzilla,On Job Training,Evening,5,2,1
Inbound,Order Related,Delayed,,61-90,Evening,1,25,0
Inbound,Order Related,Invoice request,,31-60,Night,5,5,1
Outcall,Returns,Service Centres Related,,31-60,Morning,5,36,1
Inbound,Returns,Wrong,,0-30,Evening,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,5,2,1
Inbound,Refund Related,Refund Related Issues,,>90,Morning,5,5,1
Inbound,Returns,Return request,,>90,Morning,1,76,0
Inbound,Feedback,UnProfessional Behaviour,,>90,Morning,2,191,0
Outcall,Returns,Reverse Pickup Enquiry,,0-30,Morning,5,4,1
Outcall,Order Related,Order status enquiry,When I order they show me delivery after 2 days and once I made full payment in advance they show me delivery after 4/5 days and today when I receive my order that delivery agent is not received call totally useless services I'll never order again from Shopzilla,On Job Training,Morning,1,1,0
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,3,1,
Inbound,Returns,Return request,Sir I have ordered two libas kurtas and wrong product send by seller in both the parcels . As per my complaint Only one parcel is showing for refund and I want my total money of two parcels .,On Job Training,Evening,1,22,0
Inbound,Order Related,Installation/demo,,>90,Afternoon,5,1,1
Inbound,Returns,Return request,Thanks you Shopzilla,On Job Training,Evening,5,2,1
Inbound,Order Related,Delayed,Nice,>90,Morning,4,526,1
Inbound,Order Related,Delayed,,>90,Split,4,239,1
Inbound,Returns,Service Centres Related,,>90,Morning,5,62,1
Inbound,Product Queries,Product Specific Information,,61-90,Evening,5,44331,
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,4,105,1
Inbound,Returns,Missing,Thank you Mam,31-60,Morning,5,3,1
Inbound,Returns,Wrong,,>90,Split,5,2,1
Outcall,Order Related,Order status enquiry,,>90,Afternoon,1,7,0
Inbound,Returns,Return request,,31-60,Morning,5,37,1
Inbound,Shopzilla Related,General Enquiry,,>90,Morning,5,550,1
Inbound,Product Queries,Product Specific Information,,>90,Afternoon,5,3,1
Inbound,Shopzilla Related,Signup Issues,,>90,Morning,5,11,1
Outcall,Product Queries,Product Specific Information,,On Job Training,Evening,5,0,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,5,6,1
Inbound,Shopzilla Related,Signup Issues,Good,31-60,Evening,5,2,1
Inbound,Order Related,Installation/demo,,On Job Training,Evening,5,12,1
Inbound,Returns,Return request,,>90,Afternoon,5,3,1
Outcall,Returns,Service Centres Related,,>90,Afternoon,5,7,1
Inbound,Order Related,Installation/demo,,31-60,Evening,4,15,1
Inbound,Order Related,Delayed,Please make a product tracking system with contact number of every handover consultant's,>90,Afternoon,4,95,1
Inbound,Returns,Reverse Pickup Enquiry,Kafi achha se mujhe jankari deya.or jadon hi team mere problem per work   Diya.,31-60,Morning,5,15,1
Outcall,Returns,Reverse Pickup Enquiry,,31-60,Morning,5,32,1
Inbound,Product Queries,Product Specific Information,Delivery boy was very rude behavior,On Job Training,Evening,5,12,1
Inbound,Returns,Return request,,>90,Split,5,2,1
Inbound,Order Related,Order status enquiry,,61-90,Evening,4,1,1
Inbound,Returns,Technician Visit,,On Job Training,Morning,5,200,1
Outcall,Order Related,Delayed,,0-30,Evening,5,7,1
Inbound,Order Related,Seller Cancelled Order,,On Job Training,Evening,3,68,
Inbound,Order Related,Order status enquiry,,On Job Training,Morning,3,14,
Inbound,Product Queries,Product Specific Information,,0-30,Morning,5,74,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,5,1
Outcall,Refund Related,Refund Related Issues,,61-90,Evening,5,43773,
Inbound,Order Related,Order status enquiry,Good experience,31-60,Evening,5,6,1
Inbound,Returns,Fraudulent User,,>90,Morning,5,4,1
Email,Order Related,Installation/demo,,>90,Afternoon,5,4,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,3,1
Inbound,Shopzilla Related,General Enquiry,Good service,>90,Split,5,38,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Evening,4,44353,
Inbound,Returns,Reverse Pickup Enquiry,Good experience with Shopzilla,>90,Evening,5,1,1
Inbound,Returns,Return request,,>90,Split,4,7,1
Outcall,Order Related,Order status enquiry,Thanks,0-30,Morning,4,2,1
Inbound,Product Queries,Product Specific Information,,31-60,Morning,5,1,1
Outcall,Product Queries,Product Specific Information,,0-30,Morning,5,1,1
Inbound,Payments related,Payment related Queries,,>90,Morning,5,0,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,2,1
Outcall,Shopzilla Related,Account updation,Customer executive was polite and skillful but I'm really not very disappointed with Shopzilla sellers and their post delivery service.,31-60,Evening,3,2,
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,6,1
Inbound,Payments related,PayLater related,,>90,Afternoon,5,149,1
Outcall,Product Queries,Product Specific Information,,>90,Morning,4,1,1
Inbound,Order Related,Installation/demo,,31-60,Morning,5,7,1
Inbound,Returns,Reverse Pickup Enquiry,not okay with the product,>90,Evening,5,,1
Outcall,Payments related,Payment related Queries,,0-30,Evening,5,3,1
Inbound,Shopzilla Related,Shopzila Premium Related,,31-60,Morning,1,526,0
Inbound,Returns,Return request,Maintain product quality,31-60,Morning,5,3,1
Inbound,Order Related,Installation/demo,,On Job Training,Evening,3,12,
Inbound,Cancellation,Not Needed,,31-60,Evening,5,44022,
Outcall,Order Related,Delayed,,>90,Evening,5,1,1
Inbound,Order Related,Invoice request,,>90,Split,4,10,1
Inbound,Order Related,Order status enquiry,,0-30,Evening,1,44120,0
Inbound,Order Related,Installation/demo,Product must be trustful and worthy.,>90,Night,5,50,1
Inbound,Order Related,Seller Cancelled Order,Issue not solved,31-60,Evening,1,2,0
Inbound,Returns,Service Centres Related,Very very nice guy .,>90,Morning,5,9,1
Outcall,Payments related,Card/EMI,,0-30,Morning,5,3,1
Inbound,Order Related,Delayed,Good Taking Good behaviour,61-90,Evening,5,3,1
Inbound,Others,Call back request,,31-60,Morning,4,6,1
Inbound,Order Related,Delayed,,>90,Split,5,512,1
Inbound,Order Related,Order status enquiry,Best app Shopzilla,>90,Evening,5,,1
Inbound,Returns,Reverse Pickup Enquiry,,On Job Training,Morning,1,95,0
Inbound,Product Queries,Product Specific Information,,>90,Evening,4,5,1
Inbound,Order Related,Delayed,Very good jobs ??,>90,Morning,5,507,1
Inbound,Returns,Reverse Pickup Enquiry,Please resolve my issue,>90,Morning,5,5,1
Outcall,Order Related,Customer Requested Modifications,,>90,Morning,5,5,1
Inbound,Order Related,Delayed,,On Job Training,Evening,3,330,
Inbound,Order Related,Delayed,,>90,Split,5,6,1
Inbound,Order Related,Order status enquiry,,On Job Training,Morning,3,28,
Inbound,Order Related,Order status enquiry,Fast action pls,0-30,Morning,5,20,1
Inbound,Order Related,Delayed,,61-90,Night,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,Don't allow directly to cancel the order,>90,Split,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,2,1
Inbound,Returns,Missing,Good listener and polite behaviour,0-30,Morning,5,3,1
Inbound,Order Related,Delayed,,31-60,Morning,5,3,1
Inbound,Shopzilla Related,General Enquiry,,>90,Evening,5,4,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,On Job Training,Morning,4,57,1
Inbound,Product Queries,Product Specific Information,,0-30,Morning,5,6,1
Inbound,Product Queries,Product Specific Information,,>90,Split,3,2,
Inbound,Product Queries,Product Specific Information,Refund related policy,31-60,Evening,1,2,0
Outcall,Returns,Fraudulent User,,On Job Training,Morning,4,4,1
Inbound,Order Related,Invoice request,,On Job Training,Evening,5,17,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Afternoon,5,43562,
Inbound,Returns,Reverse Pickup Enquiry,NYC and good man talking bout me ?,31-60,Morning,5,77,1
Inbound,Returns,Service Centres Related,,>90,Evening,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,good knowledge,>90,Morning,4,2,1
Inbound,Order Related,General Enquiry,,31-60,Evening,5,1,1
Outcall,Order Related,Seller Cancelled Order,,>90,Morning,2,3,0
Inbound,Order Related,Seller Cancelled Order,Thanks,>90,Morning,4,1,1
Inbound,Shopzilla Related,General Enquiry,Call disconnected,61-90,Split,1,3,0
Inbound,Product Queries,Product Specific Information,,0-30,Evening,4,2,1
Outcall,Order Related,Delayed,,>90,Afternoon,5,11,1
Inbound,Order Related,Order status enquiry,,On Job Training,Evening,1,6,0
Inbound,Shopzilla Related,General Enquiry,Thank you,>90,Morning,4,17,1
Inbound,Returns,Fraudulent User,,31-60,Evening,3,6,
Inbound,Order Related,Delayed,,61-90,Afternoon,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,1,1
Inbound,Returns,Fraudulent User,,>90,Evening,5,6,1
Inbound,Order Related,Delayed,It was good,>90,Morning,5,2,1
Inbound,Onboarding related,Seller onboarding,,>90,Morning,5,48,1
Inbound,Product Queries,Product Specific Information,,61-90,Evening,5,8,1
Outcall,Returns,Reverse Pickup Enquiry,,61-90,Evening,5,3,1
Inbound,Order Related,Installation/demo,,>90,Evening,5,6,1
Inbound,Product Queries,Product Specific Information,,>90,Afternoon,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Split,4,0,1
Inbound,Payments related,Payment related Queries,,On Job Training,Evening,5,90,1
Inbound,Returns,Reverse Pickup Enquiry,It was awasome,0-30,Morning,5,1,1
Inbound,Refund Related,Refund Enquiry,,>90,Evening,5,6,1
Inbound,Returns,Technician Visit,everyone make fool from Shopzilla,0-30,Evening,1,10,0
Inbound,Returns,Exchange / Replacement,My issue has been going on for 48 hours now still unresolved,61-90,Evening,3,0,
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,623,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Split,4,6,1
Inbound,Order Related,Order status enquiry,,61-90,Evening,5,1,1
Inbound,Product Queries,Product Specific Information,Close the online grocery store if you have restrictions on buyings,61-90,Afternoon,4,49,1
Inbound,Returns,Exchange / Replacement,,61-90,Evening,5,121,1
Inbound,Returns,Return request,,>90,Morning,5,8,1
Inbound,Order Related,Order status enquiry,good,On Job Training,Evening,5,6,1
Inbound,Order Related,Installation/demo,,61-90,Evening,5,6,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,1,142,0
Inbound,Refund Related,COD Refund Details,,>90,Morning,5,7,1
Outcall,Returns,Return request,Excellent performance,0-30,Morning,5,3,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Split,5,3,1
Inbound,Returns,Exchange / Replacement,"Nice to talk with you Miss  , After some Lil long conversation make me smile on my face with your resolution.Thank you.",61-90,Evening,5,2,1
Outcall,Product Queries,Product Specific Information,,On Job Training,Evening,3,11,
Inbound,Product Queries,Product Specific Information,,>90,Morning,5,7,1
Inbound,Order Related,Invoice request,,0-30,Evening,5,107,1
Inbound,Refund Related,Refund Related Issues,,>90,Split,1,44004,0
Inbound,Feedback,UnProfessional Behaviour,,>90,Morning,5,4,1
Inbound,Returns,Reverse Pickup Enquiry,Solve this issue as soon as possible,31-60,Afternoon,5,3,1
Inbound,Returns,Return request,,61-90,Evening,5,2,1
Inbound,Returns,Exchange / Replacement,,61-90,Evening,5,0,1
Email,Returns,Exchange / Replacement,Not solved my issue,0-30,Evening,1,43606,0
Inbound,Order Related,Priority delivery,,>90,Split,4,2,1
Inbound,Payments related,Online Payment Issues,,>90,Morning,5,17,1
Outcall,Returns,Return request,,0-30,Morning,5,1,1
Inbound,Order Related,Installation/demo,,>90,Afternoon,5,169,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,5,4,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,5,497,1
Outcall,Shopzilla Related,General Enquiry,Good behaviour costomer care,>90,Afternoon,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,5,0,1
Outcall,Order Related,Delayed,Fine,>90,Morning,3,2,
