issue_category,customer_sentiment,issue_complexity,agent_experience_level,agent_politeness,agent_empathy,agent_professionalism,communication_clarity,apology_present,patience_present,active_listening_present,deescalation_present,helpfulness,customer_tone_observed,outcome_quality,retention_label
Account and Shopping,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pricing and Discounts,neutral,less,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,high,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Pickup and Shipping,negative,less,junior,medium,present,medium,medium,1,1,1,0,medium,negative,resolved,retained
Mobile Number and Email Verification,neutral,less,experienced,high,present,high,high,1,1,1,1,high,positive,resolved,retained
Return and Exchange,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Login Methods,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Pickup and Shipping,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,high,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Product Availability and Status,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,unresolved,not_retained
Login Issues and Error Messages,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Standard Shipping Speeds and Delivery Charges,negative,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Pickup and Shipping,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Miscellaneous,negative,less,experienced,high,present,high,medium,1,1,1,1,medium,negative,unresolved,not_retained
Order Confirmation and Status,neutral,less,experienced,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Return and Exchange,frustrated,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Availability of Faster Delivery Options,negative,medium,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Return Checks and Fees,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,resolved,retained
Pickup and Shipping,neutral,less,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,frustrated,medium,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Return and Exchange,frustrated,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Lost or Missing Warranty Card,frustrated,medium,inexperienced,medium,present,medium,high,1,0,1,1,medium,negative,partially_resolved,uncertain
Order Delivery Issues,frustrated,less,inexperienced,medium,absent,medium,unknown,0,0,0,0,unknown,negative,unknown,not_retained
Mobile Number and Email Verification,neutral,medium,experienced,high,present,high,high,0,1,1,1,high,neutral,resolved,retained
Return Checks and Fees,neutral,less,junior,high,present,high,high,1,1,1,1,medium,neutral,resolved,retained
Pickup and Shipping,frustrated,high,junior,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Warranty Terms and Changes,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Product Availability for Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Order Confirmation and Status,neutral,less,junior,high,absent,medium,high,0,1,1,0,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Pricing and Discounts,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,frustrated,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Order Cancellation,neutral,high,junior,high,present,medium,medium,1,1,1,1,medium,neutral,partially_resolved,uncertain
Mobile Number and Email Verification,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Loyalty program,negative,medium,junior,medium,present,medium,high,1,1,1,1,high,negative,resolved,retained
Return Checks and Fees,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Lost or Missing Warranty Card,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,neutral,medium,junior,high,present,medium,high,1,1,1,1,medium,neutral,resolved,retained
Availability of Faster Delivery Options,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,unresolved,not_retained
Loyalty program,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Returns and Refunds,negative,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Invoice and Payment,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Product Availability and Status,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Installation and Accessories,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,negative,high,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Login Issues and Error Messages,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Product Availability for Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Accessing Warranty Details,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Book Pricing Discrepancies,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,negative,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Loyalty program,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Pickup and Shipping,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Product Availability and Status,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Pricing and Discounts,frustrated,high,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Mobile Number and Email Verification,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Product Information and Tags,positive,less,junior,high,present,high,high,1,1,1,0,high,positive,resolved,retained
Pickup and Shipping,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Warranty Claim Process,neutral,high,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Return Checks and Fees,neutral,less,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Pickup and Shipping,frustrated,less,inexperienced,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Miscellaneous,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Mobile Number and Email Verification,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Miscellaneous,negative,less,inexperienced,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Returns and Refunds,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Warranty Terms and Changes,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Return Checks and Fees,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Availability of Faster Delivery Options,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,not_retained
Replacement and Return Process,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Delivery Issues,frustrated,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Order Delivery Issues,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Cash on Delivery (CoD) Refunds,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Lost or Missing Warranty Card,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Return and Exchange,frustrated,high,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Return and Exchange,frustrated,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,resolved,retained
Product Availability and Status,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,not_retained
Order Delivery Issues,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Return Checks and Fees,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Login Issues and Error Messages,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Login Methods,neutral,high,junior,medium,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Mobile Number and Email Verification,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Replacement and Return Process,negative,less,inexperienced,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Pickup and Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Replacement and Return Process,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Availability of Faster Delivery Options,negative,less,experienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Return and Exchange,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Return and Exchange,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Confirmation and Status,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Pricing and Discounts,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Adding and Changing Account Information,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Cash on Delivery (CoD) Refunds,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Replacement and Return Process,negative,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Accessing Warranty Details,neutral,less,inexperienced,high,present,medium,high,0,1,1,0,medium,neutral,resolved,retained
Pickup and Shipping,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Pickup and Shipping,negative,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Order Cancellation,neutral,medium,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Warranty Claim Process,neutral,less,inexperienced,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,less,junior,high,present,high,high,1,1,1,1,medium,neutral,resolved,retained
Availability of Faster Delivery Options,negative,medium,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Installation and Accessories,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Invoice and Payment,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Replacement and Return Process,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Login Issues and Error Messages,neutral,medium,junior,high,present,medium,high,1,1,1,1,medium,neutral,resolved,retained
Contacting Seller's Partnered Courier Service Providers,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Miscellaneous,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,resolved,retained
Return and Exchange,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Installation,negative,medium,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Return and Exchange,frustrated,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Order Cancellation,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Account Reactivation and Deactivation,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Replacement and Return Process,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Installation,negative,less,inexperienced,medium,present,medium,high,1,1,1,1,high,negative,resolved,retained
Order Delivery Issues,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Replacement and Return Process,neutral,less,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Extended Warranty,neutral,less,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Adding and Changing Account Information,neutral,medium,junior,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Cash on Delivery (CoD) Refunds,frustrated,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Cash on Delivery (CoD) Refunds,negative,medium,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Standard Shipping Speeds and Delivery Charges,negative,less,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Returns and Refunds,negative,medium,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Login Methods,neutral,less,experienced,high,present,high,high,1,1,1,1,high,positive,resolved,retained
Returns and Refunds,negative,medium,junior,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Delivery Issues,frustrated,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Mobile Number and Email Verification,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,positive,resolved,retained
Free Delivery Qualification,neutral,medium,junior,high,present,medium,high,1,1,1,1,medium,neutral,resolved,retained
Order Delivery Issues,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Pickup and Shipping,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Order Delivery Issues,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Return and Exchange,negative,less,junior,medium,present,medium,medium,1,1,1,1,medium,negative,unresolved,not_retained
Cash on Delivery (CoD) Refunds,negative,less,inexperienced,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Pickup and Shipping,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Pricing and Discounts,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Replacement and Return Process,neutral,less,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,frustrated,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Return and Exchange,frustrated,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Mobile Number and Email Verification,neutral,medium,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Accessing Warranty Details,neutral,medium,junior,high,present,high,high,1,1,1,0,high,positive,resolved,retained
Product Installation,neutral,high,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Replacement and Return Process,neutral,medium,junior,medium,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Replacement and Return Process,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Cash on Delivery (CoD) Refunds,neutral,medium,inexperienced,medium,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Product Installation,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Invoice and Payment,negative,high,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Order Confirmation and Status,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Free Delivery Qualification,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Confirmation and Status,positive,medium,experienced,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Pricing and Discounts,neutral,high,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,experienced,high,present,high,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Return and Exchange,negative,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Free Delivery Qualification,neutral,medium,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account Reactivation and Deactivation,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Pickup and Shipping,neutral,high,junior,high,present,medium,high,1,1,1,0,medium,neutral,resolved,retained
Login Methods,neutral,medium,inexperienced,high,present,medium,medium,1,1,1,1,medium,neutral,partially_resolved,uncertain
Return Checks and Fees,negative,less,junior,medium,present,medium,medium,1,1,1,0,medium,negative,unresolved,not_retained
Adding and Changing Account Information,neutral,high,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Invoice and Payment,neutral,high,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Replacement and Return Process,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Installation,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Pricing and Discounts,frustrated,high,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Cash on Delivery (CoD) Refunds,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,negative,less,experienced,high,present,high,high,1,1,0,1,medium,negative,partially_resolved,not_retained
Placing an Order,positive,less,experienced,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Login Methods,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,negative,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Warranty Claim Process,neutral,less,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Account Reactivation and Deactivation,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,medium,neutral,resolved,retained
Warranty Terms and Changes,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,medium,junior,high,present,medium,high,0,0,0,0,high,neutral,resolved,retained
Accessing Warranty Details,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Order Confirmation and Status,positive,less,junior,high,present,high,high,0,1,1,1,high,positive,resolved,retained
Order Delivery Issues,frustrated,high,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Mobile Number and Email Verification,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Miscellaneous,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Return and Exchange,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Expedited Delivery,neutral,medium,junior,high,present,medium,high,0,1,1,1,high,neutral,resolved,retained
Start Date of Warranty,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,frustrated,medium,inexperienced,medium,present,medium,high,1,1,1,0,high,negative,resolved,retained
Delivery Process,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Product Availability and Status,negative,high,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Account and Shopping,neutral,less,junior,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Mobile Number and Email Verification,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Invoice and Payment,neutral,high,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Accessing Warranty Details,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,neutral,medium,inexperienced,medium,present,medium,high,1,1,1,0,medium,neutral,partially_resolved,uncertain
Returns and Refunds,negative,medium,inexperienced,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,not_retained
Pickup and Shipping,neutral,medium,inexperienced,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Order Confirmation and Status,positive,less,junior,high,present,high,high,0,1,1,0,high,positive,resolved,retained
Adding and Changing Account Information,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Free Delivery Qualification,neutral,medium,inexperienced,high,present,medium,high,0,0,1,0,high,neutral,resolved,retained
Pricing and Discounts,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Product Installation,neutral,less,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Warranty Terms and Changes,neutral,less,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Product Availability and Status,negative,less,inexperienced,medium,present,medium,medium,1,1,1,0,medium,negative,unresolved,not_retained
Order Confirmation and Status,neutral,less,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,medium,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Order Confirmation and Status,positive,less,inexperienced,high,present,medium,high,0,1,1,0,high,positive,resolved,retained
Pickup and Shipping,neutral,less,inexperienced,high,present,medium,high,0,0,1,0,medium,neutral,resolved,retained
Replacement and Return Process,neutral,less,junior,high,present,high,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Pickup and Shipping,negative,less,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Order Delivery Issues,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Order Delivery Issues,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Loyalty program,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Account and Shopping,neutral,medium,inexperienced,high,present,medium,medium,1,1,1,1,medium,neutral,partially_resolved,uncertain
Login Methods,neutral,medium,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Login Issues and Error Messages,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Login Methods,neutral,medium,inexperienced,medium,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Lost or Missing Warranty Card,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Book Pricing Discrepancies,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,negative,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Adding and Changing Account Information,neutral,medium,junior,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Delivery Process,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,negative,less,experienced,medium,present,high,high,1,1,1,1,medium,negative,unresolved,not_retained
Return and Exchange,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Pickup and Shipping,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account and Shopping,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Pickup and Shipping,frustrated,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Pickup and Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Pricing and Discounts,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Login Methods,neutral,medium,junior,high,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Return and Exchange,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Product Registration and Warranty,negative,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Login Issues and Error Messages,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,frustrated,high,junior,high,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Product Registration and Warranty,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return and Exchange,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Pricing and Discounts,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Login Methods,neutral,medium,inexperienced,medium,present,medium,high,1,1,1,1,medium,neutral,partially_resolved,uncertain
Pickup and Shipping,neutral,high,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Returns and Refunds,frustrated,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Pickup and Shipping,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Login Methods,neutral,medium,junior,high,present,medium,high,1,1,1,0,high,neutral,resolved,retained
Extended Warranty,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Product Installation,neutral,less,junior,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,not_retained
Contacting Seller's Partnered Courier Service Providers,neutral,less,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Lost or Missing Warranty Card,frustrated,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Delivery Process,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Confirmation and Status,neutral,less,inexperienced,medium,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Returns and Refunds,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Product Installation,neutral,less,junior,high,present,medium,high,1,1,1,0,high,positive,resolved,retained
Mobile Number and Email Verification,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,frustrated,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Pricing and Discounts,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Account Reactivation and Deactivation,negative,medium,inexperienced,medium,absent,medium,medium,1,1,1,1,medium,negative,resolved,retained
Return and Exchange,negative,medium,experienced,high,present,high,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Start Date of Warranty,neutral,medium,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Return Checks and Fees,negative,less,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Order Delivery Issues,negative,less,junior,medium,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
Mobile Number and Email Verification,neutral,less,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,less,junior,high,present,medium,high,1,1,1,1,high,negative,partially_resolved,uncertain
Login Methods,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Availability of Faster Delivery Options,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Mobile Number and Email Verification,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
